category	text
d	string
class	

human-computer interaction	Human machine interface for lab abc computer applications
human-computer interaction	A survey of user opinion of computer system response time
human-computer interaction	The EPS user interface management system
human-computer interaction	System and human system engineering testing of EPS
human-computer interaction	Relation of user perceived response time to error measurement
graphs	The generation of random binary unordered trees
graphs	The intersection graph of paths in trees
graphs	Graph minors IV Widths of trees and well quasi ordering
graphs	Graph minors A survey
