is_retweet	time	lang	retweet_count	favorite_count	longitude	latitude	handle	source_url	text	original_author	place_full_name
discrete	time	discrete	continuous	continuous	continuous	continuous	discrete	string	string	string	string
							class	meta	title=True include=True	meta	meta
0	2016-09-28 00:22:34	en	218.0	651.0			HillaryClinton	https://studio.twitter.com	The question in this election: Who can put the plans into action that will make your life better? https://t.co/XreEY9OicG		
1	2016-09-27 23:45:00	en	2445.0	5308.0			HillaryClinton	http://twitter.com	"Last night, Donald Trump said not paying taxes was ""smart."" You know what I call it? Unpatriotic. https://t.co/t0xmBfj7zF"	timkaine	
1	2016-09-27 23:26:40	en	7834.0	27234.0			HillaryClinton	https://about.twitter.com/products/tweetdeck	Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.	POTUS	
0	2016-09-27 23:08:41	en	916.0	2542.0			HillaryClinton	https://studio.twitter.com	If we stand together, there's nothing we can't do.   Make sure you're ready to vote: https://t.co/tTgeqxNqYm https://t.co/Q3Ymbb7UNy		
0	2016-09-27 22:30:27	en	859.0	2882.0			HillaryClinton	https://about.twitter.com/products/tweetdeck	Both candidates were asked about how they'd confront racial injustice. Only one had a real answer. https://t.co/sjnEokckis		
0	2016-09-27 22:13:24	en	2181.0	6172.0			realDonaldTrump	http://twitter.com/download/iphone	Join me for a 3pm rally - tomorrow at the Mid-America Center in Council Bluffs, Iowa! Tickets:… https://t.co/dfzsbICiXc		
0	2016-09-27 21:35:28	en	1303.0	2849.0			HillaryClinton	https://about.twitter.com/products/tweetdeck	This election is too important to sit out. Go to https://t.co/tTgeqxNqYm and make sure you're registered. #NationalVoterRegistrationDay -H		
0	2016-09-27 21:25:31	en	1833.0	4954.0			HillaryClinton	https://about.twitter.com/products/tweetdeck	When Donald Trump goes low...register to vote: https://t.co/tTgeqxNqYm https://t.co/DXz9dEwsZS		
0	2016-09-27 21:08:22	en	4132.0	11239.0			realDonaldTrump	http://twitter.com/download/iphone	Once again, we will have a government of, by and for the people. Join the MOVEMENT today! https://t.co/lWjYDbPHav https://t.co/uYwJrtZkAe		
1	2016-09-27 21:00:13	en	1087.0	2824.0			HillaryClinton	http://twitter.com	3) Has Trump offered a single proposal to reduce the friction of starting a business. @HillaryClinton has https://t.co/OhFAFEFsUq	mcuban	
1	2016-09-27 20:37:47	en	3347.0	7698.0			HillaryClinton	http://twitter.com	The election is just weeks away. Check if you're registered to vote at https://t.co/HcMAh8ljR0, only takes a few cl… https://t.co/H1H7hAA4XM	ddlovato	
1	2016-09-27 20:31:14	en	2953.0	6963.0			realDonaldTrump	http://twitter.com/download/iphone	On National #VoterRegistrationDay, make sure you're registered to vote so we can #MakeAmericaGreatAgain… https://t.co/0wib6UEZON	GOP	
0	2016-09-27 20:14:33	en	3833.0	9840.0			realDonaldTrump	http://twitter.com/download/iphone	Hillary Clinton's Campaign Continues To Make False Claims About Foundation Disclosure:  https://t.co/zhkEfUouHH		
0	2016-09-27 20:06:25	en	4236.0	10948.0			realDonaldTrump	http://twitter.com/download/iphone	CNBC, Time magazine online polls say Donald Trump won the first presidential debate' via @WashTimes. #MAGA https://t.co/PGimqYKPoJ		
0	2016-09-27 19:59:28	en	5379.0	8917.0			HillaryClinton	https://about.twitter.com/products/tweetdeck	Donald Trump lied to the American people at least 58 times during the first presidential debate. (We counted.) https://t.co/h43O6Rws4S		
0	2016-09-27 19:59:04	en	4878.0	14110.0			realDonaldTrump	http://twitter.com/download/iphone	Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! #ImWithYou https://t.co/vxWZ2tyJTF		
0	2016-09-27 19:37:22	en	6939.0	23330.0			realDonaldTrump	http://twitter.com/download/iphone	In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we’re still going! Thank you America! #MAGA		
0	2016-09-27 19:31:01	en	2058.0	3714.0			HillaryClinton	https://about.twitter.com/products/tweetdeck	“She gained about 55 pounds in...9 months. She was like an eating machine.” —Trump, a man who wants to be president: https://t.co/1ht91eZCyw		
0	2016-09-27 18:45:39	en	1792.0	3500.0			HillaryClinton	https://about.twitter.com/products/tweetdeck	It's #NationalVoterRegistrationDay. Celebrate by registering to vote → https://t.co/tTgeqxNqYm https://t.co/R6lVvgLECG		
0	2016-09-27 18:12:06	en	1437.0	5053.0			HillaryClinton	https://about.twitter.com/products/tweetdeck	"""I love this country. I’m proud of this country. I want to be a leader who brings people together."" —Hillary #LoveTrumpsHate"		
0	2016-09-27 18:10:07	en	976.0	3313.0			HillaryClinton	https://about.twitter.com/products/tweetdeck	We don’t want to turn against each other. We want to work with one another. We want to set big goals in this country. #StrongerTogether		
0	2016-09-27 18:06:28	en	957.0	2968.0			HillaryClinton	https://about.twitter.com/products/tweetdeck	"""What we hear from my opponent is dangerously incoherent. It's unclear what he's saying, but words matter."" —Hillary"		
0	2016-09-27 18:05:27	en	3336.0	9961.0			HillaryClinton	https://studio.twitter.com	One candidate made it clear he wasn’t prepared for last night’s debate. The other made it clear she’s prepared to b… https://t.co/InYZBmnbBM		
0	2016-09-27 18:02:54	en	1127.0	3216.0			HillaryClinton	https://about.twitter.com/products/tweetdeck	"""What kind of a person would want to root for 9 million families losing their homes?  One who should never be president."" —Hillary on Trump"		
0	2016-09-27 17:58:15	en	586.0	1681.0			HillaryClinton	https://about.twitter.com/products/tweetdeck	"""I don’t think that any family should have to pay more than 10% of their income on child care.” —Hillary https://t.co/pepW0auI8n"		
